Bostaden | Fysikgränd 13 B | 3640 kr/mån | 20 kvm | Enkelrum | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3301007030105/
Bostaden | Fysikgränd 23 C | 3320 kr/mån | 20 kvm | Enkelrum | Inflyttning: 2026-11-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3301012040002/
Bostaden | Fysikgränd 33 | 5507 kr/mån | 54 kvm | 2 Rum och kök | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3301018010203/
Bostaden | Gluntens Väg 7 | 3080 kr/mån | 18 kvm | Enkelrum | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3201301010109/
Bostaden | Historiegränd 16 A | 6955 kr/mån | 68 kvm | 3 Rum och kök | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3306001010101/
Bostaden | Historiegränd 20 B | 6314 kr/mån | 60 kvm | 2 Rum och kök | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3306003020002/
Bostaden | Kuratorvägen 29 | 6877 kr/mån | 55 kvm | 2 Rum och kök | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3101103010303/
Bostaden | Pedagoggränd 1 B | 4824 kr/mån | 20 kvm | 1 Rum och kokv | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3302001020440/
Bostaden | Pedagoggränd 7 B | 4619 kr/mån | 19 kvm | 1 Rum och kokv | Inflyttning: 2026-10-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3302008010038/
Bostaden | Rullstensgatan 10 | 3866 kr/mån | 21 kvm | Enkelrum | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/2802101010213/
Bostaden | Stipendiegränd 2 C | 6967 kr/mån | 64 kvm | 2 Rum och kök | Inflyttning: 2026-12-01 | Länk: https://www.bostaden.umea.se/ledigt/detalj/id/3305012050301/
