Sveafastigheter | Filgränd 25 | 70.8 m² | 8415 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/filgrand-25)
Sveafastigheter | Gärdesvägen 4 | 31 m² | 6555 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/gardesvagen-4)
Sveafastigheter | Hagmarksvägen 24 | 28.5 m² | 5140 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/hagmarksvagen-24)
Sveafastigheter | Korpralsvägen 40 A | 31.5 m² | 5282 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/korpralsvagen-40-a)
Sveafastigheter | Korpralsvägen 40 B | 26.2 m² | 3494 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/korpralsvagen-40-b)
Sveafastigheter | Korsgatan 3 A | 43 m² | 6397 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/korsgatan-3-a)
Sveafastigheter | Moritzvägen 11 | 18 m² | 5505 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/moritzvagen-11)
Sveafastigheter | Tvistevägen 41 | 25.2 m² | 6096 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/tvistevagen-41)
Sveafastigheter | Tvistevägen 43 | 25 m² | 6096 kr / mån (Länk: https://minasidor.sveafastigheter.se/ledigt/detalj/id/88219901-43-1005)
Sveafastigheter | Tvistevägen 43 | 25.2 m² | 6096 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/tvistevagen-43)
Sveafastigheter | Tvistevägen 43 | 25.2 m² | 6096 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/tvistevagen-43-2)
